Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,2.40779618465581E-15,-2.69873359770578E-12,-0.0140722157893813,0,0,0,6.28477706893758,0.00639339578717678,-7.22703370380633E-08,-2.37830826332407E-10,0.0118818754217734,1.02394838034462E-18,0.016753490897147,0,0,0,0,0,0,package://swerve_urdf/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://swerve_urdf/meshes/base_link.STL,,Base^swerve-1,robot,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
steer1,-0.000131914075338496,-0.0122200983849753,-0.0416849527366595,0,0,0,1.11397042751292,0.000631499796138263,-3.01039870726653E-06,-5.35159180169631E-08,0.000512110896770031,-6.29881109906842E-07,0.000793070567248552,0,0,0,0,0,0,package://swerve_urdf/meshes/steer1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://swerve_urdf/meshes/steer1.STL,,steer-1,steer1,Axis_steer1_joint,steer1_joint,continuous,0.178,-0.178,0.01157,0,0,0,base_link,0,0,1,7,40,0,0,,,,,,,,
drive1,1.91334549257127E-06,7.10945191606527E-13,-0.00311266095149038,0,0,0,0.0930124943189411,5.6816337497713E-05,2.29831118003764E-14,-3.67740278694651E-09,5.66303681233321E-05,-8.66600737999934E-14,8.81040187352088E-05,0,0,0,0,0,0,package://swerve_urdf/meshes/drive1.STL,1,1,1,0.35,0,0,0,0,0,0,package://swerve_urdf/meshes/drive1.STL,,wheel-1,drive1,Axis_drive1_joint,drive1_joint,continuous,0,0.016,-0.04757,1.5708,0,3.1416,steer1,0,0,1,4.5,52,,,,,,,,,,
steer2,-0.000131914075338718,-0.0122200983849753,-0.0416849527366605,0,0,0,1.11397042751292,0.000631499796138262,-3.01039870726682E-06,-5.35159180162628E-08,0.00051211089677003,-6.29881109906671E-07,0.000793070567248551,0,0,0,0,0,0,package://swerve_urdf/meshes/steer2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://swerve_urdf/meshes/steer2.STL,,steer-2,steer2,Axis_steer2_joint,steer2_joint,continuous,0.178,0.178,0.01157,0,0,0,base_link,0,0,1,7,40,0,0,,,,,,,,
drive2,-1.91334549204392E-06,-7.12180314721422E-13,-0.00311266095149038,0,0,0,0.093012494318941,5.68163374977129E-05,2.29831097153534E-14,3.67740278743689E-09,5.66303681233321E-05,8.66600625909693E-14,8.81040187352087E-05,0,0,0,0,0,0,package://swerve_urdf/meshes/drive2.STL,1,1,1,0.35,0,0,0,0,0,0,package://swerve_urdf/meshes/drive2.STL,,wheel-2,drive2,Axis_drive2_joint,drive2_joint,continuous,0,0.0159999999998658,-0.0475700189392043,1.5707963267949,0,3.14159265358978,steer2,0,0,1,4.5,52,,,,,,,,,,
steer3,-0.000131914075338802,-0.0122200983849752,-0.0416849527366605,0,0,0,1.11397042751292,0.000631499796138263,-3.01039870726774E-06,-5.3515918016257E-08,0.000512110896770031,-6.29881109906849E-07,0.000793070567248552,0,0,0,0,0,0,package://swerve_urdf/meshes/steer3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://swerve_urdf/meshes/steer3.STL,,steer-3,steer3,Axis_steer3_joint,steer3_joint,continuous,-0.178,0.178,0.01157,0,0,0,base_link,0,0,1,7,40,0,0,,,,,,,,
drive3,1.91334552174238E-06,0.0128873390483754,-0.0475700189399181,0,0,0,0.0930124943189412,5.68163374977131E-05,-3.67740278678929E-09,-2.29831097367817E-14,8.81040187352089E-05,8.66600688067604E-14,5.66303681233322E-05,0,0,0,0,0,0,package://swerve_urdf/meshes/drive3.STL,1,1,1,0.35,0,0,0,0,0,0,package://swerve_urdf/meshes/drive3.STL,,wheel-3,steer3,Axis_drive3_joint,drive3_joint,continuous,0,0,0,0,0,0,steer3,0,1,0,4.5,52,,,,,,,,,,
steer4,-0.000131914075338829,-0.0122200983849752,-0.0416849527366605,0,0,0,1.11397042751292,0.000631499796138263,-3.01039870726787E-06,-5.35159180162538E-08,0.000512110896770031,-6.29881109906812E-07,0.000793070567248551,0,0,0,0,0,0,package://swerve_urdf/meshes/steer4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://swerve_urdf/meshes/steer4.STL,,steer-4,steer4,Axis_steer4_joint,steer4_joint,continuous,-0.178000000000025,-0.17799999999987,0.0115700189392049,0,0,0,base_link,0,0,1,7,40,0,0,,,,,,,,
drive4,1.91334549240474E-06,7.10272118897848E-13,-0.0031126609514904,0,0,0,0.093012494318941,5.68163374977129E-05,2.29831098767291E-14,-3.67740278665974E-09,5.6630368123332E-05,-8.66600524254585E-14,8.81040187352088E-05,0,0,0,0,0,0,package://swerve_urdf/meshes/drive4.STL,1,1,1,0.35,0,0,0,0,0,0,package://swerve_urdf/meshes/drive4.STL,,wheel-4,drive4,Axis_drive4_joint,drive4_joint,continuous,0,0.0159999999998658,-0.0475700189392043,1.5707963267949,0,3.14159265358977,steer4,0,0,1,4.5,52,,,,,,,,,,
